,0,1,2,3,4,5,6,7,8,9
count,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0
mean,0.25281716961907624,0.0923572291069448,0.05776826191752218,0.042337530728246676,0.03295482112675558,0.027230125017744324,0.023949432823226917,0.019767952452315583,0.017406217651485086,0.4334112595566825
std,0.042109005273437326,0.023165586628105417,0.017452284983068313,0.015058572679230138,0.012908999251286865,0.011683660982600867,0.010868113444103891,0.00978786867510242,0.009265869219519884,0.07128956950980293
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625
25%,0.23225187294904343,0.07926829268292683,0.04779411764705882,0.033816425120772944,0.025423728813559324,0.02040816326530612,0.017508725811169842,0.013888888888888888,0.011673151750972763,0.39487179487179486
50%,0.25510204081632654,0.09178743961352658,0.05731523378582202,0.04181818181818182,0.03255813953488372,0.026737967914438502,0.02335456475583864,0.019230769230769232,0.01674641148325359,0.42638623326959846
75%,0.2768166089965398,0.10497237569060773,0.06725801798966774,0.05010438413361169,0.03990451465407177,0.03333333333333333,0.029411764705882353,0.025,0.02212834529299692,0.4599043299713441
max,0.6363636363636364,0.375,0.2222222222222222,0.4444444444444444,0.21428571428571427,0.3333333333333333,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.9808612440191388
