,0,1,2,3,4,5,6,7,8,9
count,25002.0,25002.0,25002.0,25002.0,25002.0,25002.0,25002.0,25002.0,25002.0,25002.0
mean,0.3194163803549211,0.07036603928681816,0.044729939690880946,0.033379820861942126,0.026585522032039913,0.02217549984659606,0.01945243770672762,0.016501701098455043,0.014535226959799284,0.4328574321618197
std,0.06783609877230194,0.02030867994715673,0.01562423287568267,0.013240619850024723,0.011562306158935795,0.010580743715950296,0.009813610376937903,0.009198023540897276,0.008377114796729068,0.09010827557133956
min,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
25%,0.28190305574846897,0.05907172995780591,0.0354634118022699,0.02531645569620253,0.01951219512195122,0.01557632398753894,0.013440860215053764,0.010752688172043012,0.009345794392523364,0.3813657863618447
50%,0.31953725595158433,0.07063572149344097,0.04451038575667656,0.033073929961089495,0.026272577996715927,0.02171597800028205,0.018867924528301886,0.015957446808510637,0.014150943396226415,0.4237200768827538
75%,0.35910224438902744,0.08187134502923976,0.05363185355790118,0.04081632653061224,0.03303303303303303,0.028,0.024752475247524754,0.021367521367521368,0.01904761904761905,0.467431855500821
max,0.6666666666666666,0.2222222222222222,0.14285714285714285,0.13114754098360656,0.11290322580645161,0.1,0.1,0.25,0.09090909090909091,0.9948186528497409
