,0,1,2,3,4,5,6,7,8,9
count,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0
mean,0.2797181766328957,0.07407038285342958,0.04897738542836463,0.036317653147598536,0.029543586748986928,0.024599311796627873,0.021383910146457966,0.018014474575223993,0.015363253902195232,0.45201186476821953
std,0.08164675611957449,0.02269548163561668,0.01676200266293891,0.014318559472158843,0.012731329813535515,0.011195336694550256,0.009763893168346253,0.009333398048590343,0.008610751706948552,0.1068925960175521
min,0.0,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16766467065868262
25%,0.2339622641509434,0.06006006006006006,0.038834951456310676,0.02666666666666667,0.02074688796680498,0.017167381974248927,0.014760147601476014,0.011111111111111112,0.009259259259259259,0.40186915887850466
50%,0.2736318407960199,0.07317073170731707,0.04932735426008968,0.035555555555555556,0.028846153846153848,0.023809523809523808,0.02066115702479339,0.017316017316017316,0.014285714285714285,0.4497816593886463
75%,0.3169642857142857,0.08943089430894309,0.05963302752293578,0.046218487394957986,0.038461538461538464,0.031496062992125984,0.027624309392265192,0.024390243902439025,0.0211864406779661,0.4900662251655629
max,0.64,0.14054054054054055,0.09547738693467336,0.0778688524590164,0.06451612903225806,0.0594059405940594,0.056910569105691054,0.049723756906077346,0.04522613065326633,0.9893992932862191
