,0,1,2,3,4,5,6,7,8,9
count,3263.0,3263.0,3263.0,3263.0,3263.0,3263.0,3263.0,3263.0,3263.0,3263.0
mean,0.2496444535698976,0.09089830006845251,0.057724267289205086,0.0421058735115717,0.03271014084214496,0.02715354689655468,0.023778114206647487,0.019933193292890315,0.017205466042766838,0.43884664427986886
std,0.04248566601924087,0.023313061155481894,0.016614249324379177,0.014554037478481293,0.012700845658213599,0.011120002382397878,0.010586644724768366,0.00985938474668803,0.009344797096761859,0.07236221127806579
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
25%,0.23026315789473684,0.07855373659971361,0.04864864864864865,0.034357735182312124,0.02608695652173913,0.02127659574468085,0.017857142857142856,0.01454016913319239,0.012048192771084338,0.4010152284263959
50%,0.25272331154684097,0.09022556390977443,0.05714285714285714,0.04144144144144144,0.03258145363408521,0.026748971193415638,0.023227383863080684,0.01950585175552666,0.016605166051660517,0.4311377245508982
75%,0.27320350055466536,0.10188173402802367,0.06601063529335818,0.049156224650063,0.03902620465575048,0.03269989260271917,0.028737310121038716,0.024691358024691357,0.021379625578197274,0.46454384190233244
max,0.6363636363636364,0.3333333333333333,0.17857142857142858,0.15,0.16666666666666666,0.2222222222222222,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.9779116465863453
