,0,1,2,3,4,5,6,7,8,9
count,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0
mean,0.317332703531406,0.0700877268322658,0.04457451391542953,0.03397372710798631,0.026584025919954443,0.022216243467215256,0.01928233065886327,0.016611965554723475,0.014381663381750313,0.4349550996304055
std,0.06969107807830471,0.02019742108859683,0.015989739906605092,0.013420731101242958,0.011581656175569803,0.010582064438052556,0.009701976719029752,0.009369638958048942,0.008253129023221043,0.09354201749016174
min,0.009041591320072333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1320754716981132
25%,0.2788572656157402,0.059180657236507034,0.03571428571428571,0.02634859745864301,0.019801980198019802,0.015873015873015872,0.01358235601933081,0.011241705289064208,0.009368465274054846,0.3835324564134496
50%,0.3165331543088354,0.07040544236291535,0.044444444444444446,0.033707865168539325,0.026397801070429626,0.02197802197802198,0.018900614738847625,0.016260162601626018,0.014129284701842645,0.42655201940916226
75%,0.35624757362320447,0.08117546392855232,0.05318475626178293,0.041173948138432045,0.0329363350278383,0.027777777777777776,0.024200202278292345,0.021198739182679453,0.018724088205251455,0.4704516515616808
max,0.65,0.1836734693877551,0.14285714285714285,0.12307692307692308,0.09523809523809523,0.09090909090909091,0.07344632768361582,0.14285714285714285,0.08433734939759036,0.9837251356238698
